1世代目
1.1801036769131252 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
1.2068906114719609 0.0	1.4971103216744241 30.0
0.6787231213138228 0.0	1.2098933429873788 30.0
0.8295737660926518 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.0986136904445782 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.062919641831853 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.077037960563685 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.170047372338022 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2013103643812395 0.0	1.2041039509305818 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2013103643812395 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
11世代目
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
1.2068906114719609 1.0	1.733062861544031 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4971103216744241 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
1.2068906114719609 1.0	1.3395303977230575 30.0
0.190551495112866 1.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.3395303977230575 30.0
1.1645798377720598 1.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4971103216744241 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.3749501124936145 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.6478339893960907 30.0
1.2068906114719609 0.0	1.2098933429873788 11.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.1529531756463904 0.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
12世代目
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.3749501124936145 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.6478339893960907 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.1645798377720598 0.0	1.2846091510167585 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4971103216744241 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.1550164301049435 0.0	1.2098933429873788 30.0
1.1529531756463904 0.0	1.2098933429873788 30.0
0.1646101507831858 0.0	1.3395303977230575 30.0
